,VARIETY,TEST_ID,CHECK,RM,VAR_YIELD,CHECK_YIELD,RATIO,BAGSOLD
1,V148493,09YT00039511101,V000067,2.1,61.9242944,61.9242944,1,61161
2,V148493,09YT00039511101,V000134,2.1,61.9242944,66.8367565,0.926500591,61161
3,V148493,09YT00039511101,V000158,2.1,61.9242944,63.9533095,0.968273493,61161
4,V148493,09YT00039511101,V000722,2.1,61.9242944,65.4480447,0.946159579,61161
5,V148493,09YT00039511102,V000067,2.1,66.9426311,71.7468394,0.933039443,61161
6,V148493,09YT00039511102,V000134,2.1,66.9426311,61.9242944,1.081039869,61161
7,V148493,09YT00039511102,V000158,2.1,66.9426311,59.0432266,1.13379019,61161
8,V148493,09YT00039511102,V000722,2.1,66.9426311,57.9746665,1.154687644,61161
9,V148493,09YT00039512201,V000067,2.1,54.9561997,44.772313,1.227459473,61161
10,V148493,09YT00039512201,V000134,2.1,54.9561997,45.4770036,1.208439329,61161
11,V148493,09YT00039512201,V000158,2.1,54.9561997,50.3166026,1.092208076,61161
12,V148493,09YT00039512201,V000722,2.1,54.9561997,52.1329764,1.05415427,61161
13,V148493,09YT00039512202,V000067,2.1,55.1584321,55.9631979,0.985619732,61161
14,V148493,09YT00039512202,V000134,2.1,55.1584321,55.3585826,0.996384472,61161
15,V148493,09YT00039512202,V000158,2.1,55.1584321,59.5934176,0.925579272,61161
16,V148493,09YT00039512202,V000722,2.1,55.1584321,50.6190589,1.089677155,61161
17,V148493,09YT00039512411,V000067,2.1,50.4189084,58.4841136,0.862095795,61161
18,V148493,09YT00039512411,V000134,2.1,50.4189084,55.560815,0.907454442,61161
19,V148493,09YT00039512411,V000158,2.1,50.4189084,56.2655056,0.896089138,61161
20,V148493,09YT00039512411,V000722,2.1,50.4189084,45.6793847,1.103756295,61161
21,V148493,09YT00039512412,V000067,2.1,52.7375917,52.435284,1.005765349,61161
22,V148493,09YT00039512412,V000134,2.1,52.7375917,55.056275,0.957885213,61161
23,V148493,09YT00039512412,V000158,2.1,52.7375917,55.2585073,0.954379593,61161
24,V148493,09YT00039512412,V000722,2.1,52.7375917,52.837667,0.998105986,61161
25,V148493,09YT00039512901,V000067,2.1,46.0781988,46.3684617,0.993740079,61161
26,V148493,09YT00039512901,V000134,2.1,46.0781988,40.7535395,1.130655137,61161
27,V148493,09YT00039512901,V000158,2.1,46.0781988,50.0476038,0.920687412,61161
28,V148493,09YT00039512901,V000722,2.1,46.0781988,47.5293647,0.969468014,61161
29,V148493,09YT00039512902,V000067,2.1,42.6891709,46.3684617,0.920651006,61161
30,V148493,09YT00039512902,V000134,2.1,42.6891709,36.3976625,1.172854738,61161
31,V148493,09YT00039512902,V000158,2.1,42.6891709,46.4643734,0.918750599,61161
32,V148493,09YT00039512902,V000722,2.1,42.6891709,48.0138302,0.889101551,61161
33,V148493,09YT00039521111,V000067,2.1,48.6864015,38.9698798,1.249334146,61161
34,V148493,09YT00039521111,V000134,2.1,48.6864015,35.9805582,1.3531308,61161
35,V148493,09YT00039521111,V000158,2.1,48.6864015,53.1704582,0.91566639,61161
36,V148493,09YT00039521111,V000722,2.1,48.6864015,39.1840082,1.242506924,61161
37,V148493,09YT00039521112,V000067,2.1,51.675723,37.4751447,1.378933248,61161
38,V148493,09YT00039521112,V000134,2.1,51.675723,38.4355997,1.344475523,61161
39,V148493,09YT00039521112,V000158,2.1,51.675723,43.7739394,1.180513422,61161
40,V148493,09YT00039521112,V000722,2.1,51.675723,39.9301861,1.29415182,61161
41,V148493,09YT00039522201,V000067,2.1,41.5514652,48.5867723,0.855201184,61161
42,V148493,09YT00039522201,V000134,2.1,41.5514652,50.70932,0.819404898,61161
43,V148493,09YT00039522201,V000158,2.1,41.5514652,47.9168776,0.867157196,61161
44,V148493,09YT00039522201,V000722,2.1,41.5514652,51.2682843,0.810471147,61161
45,V148493,09YT00039522202,V000067,2.1,48.8107149,52.4971433,0.929778495,61161
46,V148493,09YT00039522202,V000134,2.1,48.8107149,49.4806097,0.986461468,61161
47,V148493,09YT00039522202,V000158,2.1,48.8107149,49.4806097,0.986461468,61161
48,V148493,09YT00039522202,V000722,2.1,48.8107149,54.619691,0.893646852,61161
49,V148493,09YT00039522701,V000067,2.1,52.607925,50.70932,1.037440948,61161
50,V148493,09YT00039522701,V000134,2.1,52.607925,48.5867723,1.082762293,61161
51,V148493,09YT00039522701,V000158,2.1,52.607925,51.379066,1.023917504,61161
52,V148493,09YT00039522701,V000722,2.1,52.607925,48.2517506,1.090280132,61161
53,V148493,09YT00039522702,V000067,2.1,52.273052,55.289437,0.945443738,61161
54,V148493,09YT00039522702,V000134,2.1,52.273052,51.379066,1.01739981,61161
55,V148493,09YT00039522702,V000158,2.1,52.273052,47.3579133,1.103787062,61161
56,V148493,09YT00039522702,V000722,2.1,52.273052,49.4806097,1.056435083,61161
57,V148493,09YT00039522901,V000067,2.1,58.0818794,49.704701,1.168538956,61161
58,V148493,09YT00039522901,V000134,2.1,58.0818794,54.5063814,1.065597787,61161
59,V148493,09YT00039522901,V000158,2.1,58.0818794,47.9168776,1.212138234,61161
60,V148493,09YT00039522901,V000722,2.1,58.0818794,54.619691,1.063387184,61161
61,V148493,09YT00039522902,V000067,2.1,55.9593317,44.1198162,1.268349157,61161
62,V148493,09YT00039522902,V000134,2.1,55.9593317,49.704701,1.125835798,61161
63,V148493,09YT00039522902,V000158,2.1,55.9593317,55.6244587,1.006020247,61161
64,V148493,09YT00039522902,V000722,2.1,55.9593317,63.2185815,0.885172213,61161
65,V155853,09YT00078832101,V000023,2.7,52.895214,56.8372581,0.93064331,761392
66,V155853,09YT00078832101,V000082,2.7,52.895214,52.37625,1.009908384,761392
67,V155853,09YT00078832101,V000124,2.7,52.895214,59.0140814,0.896315129,761392
68,V155853,09YT00078832101,V103066,2.7,52.895214,56.2153936,0.940938249,761392
69,V155853,09YT00078832102,V000023,2.7,57.3563708,59.0140814,0.971909914,761392
70,V155853,09YT00078832102,V000082,2.7,57.3563708,55.1771683,1.039494642,761392
71,V155853,09YT00078832102,V000124,2.7,57.3563708,59.0140814,0.971909914,761392
